Year,Month,Fieldwork,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,,Party leader rating,,,,,,,,,,,
,Sep,3-5,7,Populus,TT,30.0,-2.0,32.0,0.0,26.0,2.0,-2.0,-2.0,,,,,,,,,,4.44,,,4.84,,,5.05,,,
,Sep,10-11,,YouGov,,,,,,,,,,,"No party figures published, but leader ratings on YouGov website",,,,,,38.0,47.0,-9.0,41.0,57.0,-16.0,53.0,30.0,23.0,Do you think (name) is doing well or badly as (position)?,,
,Sep,10-14,26,MORI,OB,33.0,1.0,32.0,4.0,25.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
,Sep,17-19,22,ICM,GU,32.0,-1.0,36.0,0.0,22.0,0.0,-4.0,-1.0,,,,,,,,,,,,,,,,,,,
,Sep,,,ICM,New Frontiers,31.0,-1.0,33.0,-3.0,25.0,3.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,
,Sep,21-23,27,YouGov,DT,34.0,0.0,36.0,2.0,21.0,0.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,
,Sep,23-24,26,CommR,IoS,30.0,,32.0,,27.0,,-2.0,,,,,,,,,,,,,,,,,,,,
,Sep,23-24,26,Populus,NoW,32.0,2.0,28.0,-4.0,29.0,3.0,4.0,6.0,,,,,,,,,,,,,,,,,,,
,Sep,30-2,5,Populus,TT,28.0,-4.0,35.0,7.0,25.0,-4.0,-7.0,-11.0,,,,,,,,,,4.15,,,5.31,,,4.98,,,
,Oct,1-2,10,YouGov,MoS,29.0,-5.0,35.0,-1.0,22.0,1.0,-6.0,-4.0,,,,,,,,25.0,56.0,-31.0,45.0,53.0,-8.0,56.0,27.0,29.0,Do you think (name) is doing well or badly as (position)?,,
,Oct,,9,NOP,IoS,34.0,,36.0,,21.0,,-2.0,,,,,,,,,,,,,,,,,,,,
,Oct,6-7,10,ICM,DT,30.0,-1.0,39.0,6.0,23.0,-2.0,-9.0,-7.0,,,,,,,,,,,,,,,,,,,
,Oct,6-7,,Populus,NoW,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,21-27,,MORI,,29.0,-4.0,39.0,7.0,22.0,-3.0,-10.0,-11.0,,,,,,,,,,,,,,,,,,,
,Oct,22-24,27,ICM,GU,31.0,-1.0,37.0,1.0,23.0,1.0,-6.0,-2.0,,,,,,,,,,,,,,,,,,,
,Oct,26-28,29,YouGov,DT,32.0,3.0,36.0,1.0,22.0,0.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,
,Oct,27-28,31,CommR,IoS,33.0,3.0,39.0,7.0,17.0,-10.0,-6.0,-4.0,,Phone,,,,,,,,,,,,,,,,,
,Nov,4-8,,MORI,,31.0,2.0,35.0,-4.0,23.0,1.0,-4.0,6.0,,,,,,,,,,,,,,,,,,,
,Nov,5-7,9,Populus,TT,33.0,5.0,34.0,-1.0,22.0,-3.0,-1.0,6.0,,,,,,,,,,4.54,,,4.85,,,5.05,,,
,Nov,12-14,17,NOP,Ind,30.0,-4.0,39.0,3.0,20.0,-1.0,-9.0,-7.0,,,,,,,,,,,,,,,,,,,
,Nov,12-14,18,ICM,GU,30.0,-1.0,38.0,1.0,22.0,-1.0,-8.0,-2.0,,,,,,,,,,,,,,,,,,,
,Nov,23-25,26,YouGov,DT,32.0,0.0,35.0,-1.0,23.0,1.0,-3.0,1.0,,,,,,,,,,,,,,,,,,,
,Nov,24-25,28,CommR,IoS,31.0,-2.0,42.0,3.0,20.0,3.0,-11.0,-5.0,,Phone,,,,,,,,,,,,,,,,,
,Dec,2-6,,MORI,,27.0,-4.0,40.0,5.0,24.0,1.0,-13.0,-9.0,,F2F,,,,,,,,,,,,,,,,,
,Dec,3-5,7,Populus,TT,33.0,0.0,37.0,3.0,20.0,-2.0,-4.0,-3.0,Change of methodology,,,,,,,,,,,,,,,,,,
,Dec,14-16,17,YouGov,DT,32.0,0.0,35.0,0.0,21.0,-2.0,-3.0,0.0,,,,,,,,,,,,,,,,,,,
,Dec,14-16,19,CommR,IoS,34.0,3.0,39.0,-3.0,19.0,-1.0,-5.0,6.0,,Phone,,,,,,,,,,,,,,,,,
,Dec,16-18,19,YouGov,ST,32.0,0.0,35.0,0.0,23.0,2.0,-3.0,0.0,,,,,,,,,,,,,,,,,,,
,Dec,16-19,21,ICM,GU,31.0,1.0,40.0,2.0,21.0,-1.0,-9.0,-1.0,,,,,,,,,,,,,,,,,,,
2005,Jan,2-6,,MORI,,30.0,3.0,35.0,-5.0,26.0,2.0,-5.0,8.0,,,,,,,,,,,,,,,,,,,
,Jan,5-6,9,ICM,NoW,31.0,0.0,38.0,-2.0,21.0,0.0,-8.0,1.0,,,,,,,,,,,,,,,,,,,
,Jan,7-9,11,Populus,TT,33.0,0.0,38.0,1.0,20.0,0.0,-5.0,-1.0,,,,,,,,,,4.58,,,5.07,,,4.95,,,
,Jan,7-9,11,NOP,Ind,32.0,2.0,38.0,-1.0,21.0,1.0,-6.0,0.0,Figures weighted for turnout (not as per main story covering poll),,,,,,,,,,,,,,,,,,
,Jan,20-22,23,YouGov,ST,31.0,-1.0,34.0,-1.0,25.0,2.0,-3.0,0.0,,,,,,,,31.0,55.0,-24.0,41.0,56.0,-15.0,61.0,23.0,38.0,Do you think (name) is doing well or badly as (position)?,,
,Jan,20-24,30,MORI,OB,32.0,2.0,38.0,3.0,22.0,-4.0,-6.0,-1.0,,F2F,Certain to vote,,,,,,,,,,,,,,,,
,Jan,21-23,25,ICM,GU,31.0,0.0,38.0,0.0,21.0,0.0,-7.0,0.0,,,,,,,,,,,,,,,,,,,
,Jan,25-27,28,YouGov,DT,34.0,3.0,35.0,1.0,22.0,-3.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,
,Jan,26-27,30,CommR,IoS,32.0,-2.0,40.0,1.0,20.0,1.0,-8.0,-3.0,,Phone,,,,,,,,,,,,,,,,,
,Jan,26-27,30,ICM,STel,32.0,1.0,37.0,-1.0,21.0,0.0,-5.0,2.0,,,,,,,,,,,,,,,,,,,
,Jan,26-28,1,YouGov,DT,33.0,-1.0,35.0,0.0,23.0,1.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,
,Feb,3-5,6,YouGov,MoS,33.0,0.0,34.0,-1.0,23.0,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,
,Feb,4-6,8,Populus,TT,32.0,-1.0,41.0,3.0,18.0,-2.0,-9.0,-4.0,,,,,,,,,,,,,,,,,,,
,Feb,11-13,16,NOP,Ind,30.0,-2.0,42.0,4.0,18.0,-3.0,-12.0,-6.0,,,,,,,,,,,,,,,,,,,
,Feb,17-21,23,MORI,FT,37.0,5.0,39.0,1.0,18.0,-4.0,-2.0,4.0,,F2F,Certain to vote,,,,,,,,,,,,,,,,
,Feb,18-20,22,ICM,GU,34.0,2.0,37.0,0.0,21.0,0.0,-3.0,2.0,,,,,,,,,,,,,,,,,,,
,Feb,22-24,25,YouGov,DT,32.0,-1.0,38.0,4.0,21.0,-2.0,-6.0,-5.0,,,,,,,,,,,,,,,,,,,
,Feb,23-24,27,CommR,IoS,34.0,2.0,41.0,1.0,17.0,-3.0,-7.0,1.0,,Phone,,,,,,,,,,,,,,,,,
,Mar,4-6,8,Populus,TT,32.0,0.0,39.0,-2.0,20.0,2.0,-7.0,2.0,Note: Times graphic had wrong figure for LDs,,,,,,,,,,,,,,,,,,
,Mar,11-13,15,NOP,Ind,34.0,4.0,39.0,-3.0,19.0,1.0,-5.0,7.0,,,,,,,,,,,,,,,,,,,
,Mar,17-19,20,YouGov,ST,32.0,0.0,37.0,-1.0,23.0,2.0,-5.0,1.0,,,,,,,,41.0,47.0,-6.0,46.0,50.0,-4.0,55.0,29.0,26.0,Do you think (name) is doing well or badly as (position)?,,
,Mar,17-22,24,MORI,FT,37.0,0.0,37.0,-2.0,20.0,2.0,0.0,2.0,,F2F,Certain to vote,,,,,,,,,,,,,,,,
,Mar,18-20,22,ICM,GU,32.0,-2.0,40.0,3.0,20.0,-1.0,-8.0,-5.0,,,,,,,,,,,,,,,,,,,
,Mar,21-24,25,YouGov,DT,34.0,2.0,35.0,-2.0,22.0,-1.0,-1.0,4.0,,,,,,,,,,,,,,,,,,,
,Mar,22-23,27,CommR,IoS,31.0,-3.0,43.0,2.0,17.0,0.0,-12.0,-5.0,,,,,,,,,,,,,,,,,,,
,Mar,24-25,3,CommR,IoS,34.0,3.0,40.0,-3.0,16.0,-1.0,-6.0,6.0,,,,,,,,,,,,,,,,,,,
,Mar,,3,YouGov,ST,34.0,0.0,36.0,1.0,22.0,0.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,
,Apr,1-3,5,MORI,FT,39.0,,34.0,,21.0,,5.0,,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,Apr,1-3,5,Populus,TT,35.0,3.0,37.0,-2.0,19.0,-1.0,-2.0,5.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,1-3,5,NOP,Ind,33.0,-1.0,36.0,-3.0,21.0,2.0,-3.0,2.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,1-3,5,ICM,GU,34.0,2.0,37.0,-3.0,21.0,1.0,-3.0,5.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,5,6,YouGov,Sky,36.0,2.0,36.0,0.0,21.0,-1.0,0.0,2.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,5-6,8,YouGov,DT,35.0,-1.0,36.0,0.0,21.0,0.0,-1.0,-1.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,7-8,10,ICM,STel,34.0,0.0,38.0,1.0,20.0,-1.0,-4.0,-1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,7-9,10,MORI,OB/SMirror,33.0,-6.0,40.0,6.0,19.0,-2.0,-7.0,-12.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,Apr,7-9,10,YouGov,ST,35.0,0.0,37.0,1.0,21.0,0.0,-2.0,-1.0,,Internet,,,,,,40.0,46.0,-6.0,46.0,50.0,-4.0,60.0,25.0,35.0,Do you think (name) is doing well or badly as (position)?,,
,Apr,?-9,10,BPIX,MoS,34.0,,37.0,,22.0,,-3.0,0.0,,,All voters,,,,,,,,,,,,,,,,
,Apr,7-11,13,MORI,ES,35.0,-2.0,39.0,2.0,21.0,1.0,-4.0,-4.0,,F2F,Certain to vote,,,,,,,,,,,,,,,,
,Apr,8-10,11,YouGov,DT,36.0,1.0,36.0,-1.0,20.0,1.0,0.0,2.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,8-10,12,NOP,Ind,32.0,-1.0,38.0,2.0,21.0,0.0,-6.0,-3.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,9,11,ICM,DM/GMTV,33.0,-1.0,38.0,0.0,22.0,2.0,-5.0,-1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,10-12,14,ICM,GU,33.0,0.0,39.0,1.0,21.0,-1.0,-6.0,-1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,11-15,17,CommR,IoS,34.0,0.0,40.0,0.0,20.0,4.0,-6.0,0.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,12-14,15,YouGov,DT,33.0,-3.0,38.0,2.0,22.0,2.0,-5.0,-5.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,13-15,17,ICM,STel,30.0,-3.0,40.0,1.0,22.0,1.0,-10.0,-4.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,14-15,17,BPIX,MoS,33.0,-1.0,36.0,-1.0,22.0,0.0,-3.0,0.0,,Internet,All voters,,,,,,,,,,,,,,,,
,Apr,14-16,17,YouGov,ST,35.0,2.0,36.0,-2.0,23.0,1.0,-1.0,4.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,14-17,19,Populus,TT,31.0,-4.0,40.0,3.0,21.0,2.0,-9.0,-7.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,15-17,18,YouGov,DT,33.0,-2.0,36.0,0.0,23.0,0.0,-3.0,-2.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,15-17,19,NOP,Ind,32.0,0.0,37.0,-1.0,21.0,0.0,-5.0,1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,15-18,19,MORI,FT,32.0,-1.0,40.0,0.0,21.0,2.0,-8.0,-1.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,Apr,15-18,19/20,Populus,TT / ITV,33.0,2.0,39.0,-1.0,21.0,0.0,-6.0,3.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,16,18,ICM,DM/GMTV,33.0,3.0,41.0,1.0,20.0,-2.0,-8.0,2.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,16-19,20/21,Populus,TT/ITV,33.0,0.0,39.0,0.0,21.0,0.0,-6.0,0.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,17-19,21,ICM,GU,33.0,0.0,39.0,-2.0,22.0,2.0,-6.0,2.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,17-20,21/22,Populus,TT / ITV,34.0,1.0,39.0,0.0,20.0,-1.0,-5.0,1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,18-19,22,MORI,Sun,32.0,0.0,39.0,-1.0,22.0,1.0,-7.0,1.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,Apr,18-21,22/23,Populus,TT / ITV,33.0,-1.0,40.0,1.0,20.0,0.0,-7.0,-2.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,19-21,22,YouGov,DT,34.0,1.0,37.0,1.0,22.0,-1.0,-3.0,0.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,19-22,24,CommR,IoS,35.0,1.0,40.0,0.0,18.0,-2.0,-5.0,1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,19-22,23/24,Populus,TT / ITV,33.0,0.0,41.0,1.0,20.0,0.0,-8.0,-1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,20-22,24,ICM,STel,33.0,0.0,39.0,0.0,21.0,-1.0,-6.0,0.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,20-23,24/25,Populus,TT / ITV,32.0,-1.0,41.0,0.0,20.0,0.0,-9.0,-1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,21-22,24,BPIX,MoS,33.0,0.0,36.0,0.0,22.0,0.0,-3.0,0.0,,Internet,All voters,,,,,,,,,,,,,,,,
,Apr,21-23,24,YouGov,ST ,33.0,-1.0,37.0,0.0,23.0,1.0,-4.0,-1.0,,Internet,,,,,YouGov website says fieldwork for leaders 22-23,39.0,53.0,-14.0,47.0,50.0,-3.0,61.0,27.0,34.0,Do you think (name) is doing well or badly as (position)?,,
,Apr,21-24,25/26,Populus,TT / ITV,33.0,1.0,41.0,0.0,19.0,-1.0,-8.0,1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,21-25,27,MORI,FT,34.0,-1.0,36.0,-3.0,23.0,2.0,-2.0,2.0,,F2F,Certain to vote,,,,,,,,,,,,,,,,
,Apr,22-24,25,YouGov,DT,33.0,0.0,37.0,0.0,24.0,1.0,-4.0,0.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,22-24,26,NOP,Ind,30.0,-2.0,40.0,3.0,21.0,0.0,-10.0,-5.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,22-25,26/27,Populus,TT / ITV,31.0,-2.0,40.0,-1.0,21.0,2.0,-9.0,-1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,23,25,ICM,DM/GMTV,33.0,0.0,39.0,0.0,20.0,-1.0,-6.0,0.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,23-26,27/28,Populus,TT / ITV,31.0,0.0,40.0,0.0,21.0,0.0,-9.0,0.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,23-28,1,CommR,IoS,31.0,-4.0,39.0,-1.0,23.0,5.0,-8.0,-3.0,,F2F,,,,,,,,,,,,,,,,,
,Apr,24-26,28,ICM,GU,33.0,0.0,40.0,1.0,20.0,0.0,-7.0,-1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,24-27,28/29,Populus,TT / ITV,32.0,1.0,40.0,0.0,21.0,0.0,-8.0,1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,25-28,29/30,Populus,TT / ITV,31.0,-1.0,40.0,0.0,22.0,1.0,-9.0,-1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,26-29,30/1,Populus,TT / ITV,31.0,0.0,40.0,0.0,21.0,-1.0,-9.0,0.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,26-28,29,YouGov,DT,32.0,-1.0,36.0,-1.0,24.0,0.0,-4.0,0.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,27-29,1,ICM,STel ,31.0,-2.0,39.0,-1.0,22.0,2.0,-8.0,-1.0,,Phone,,,,,,,,,,,,,,,,,
,Apr,27-30,1/2,Populus,TT / ITV,29.0,-2.0,42.0,2.0,21.0,0.0,-13.0,-4.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,28-29,1,MORI,OB/SMirror,33.0,1.0,36.0,-3.0,22.0,0.0,-3.0,4.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,Apr,28-30,1,YouGov,ST ,33.0,1.0,36.0,0.0,23.0,-1.0,-3.0,1.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,28-30,1,BPIX,MoS,31.0,-2.0,38.0,2.0,22.0,0.0,-7.0,-4.0,,Internet,All voters,,,,,,,,,,,,,,,,
,Apr,28-1,2-3,Populus,TT / ITV,29.0,0.0,41.0,-1.0,21.0,0.0,-12.0,1.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,Apr,29-1,2,YouGov,DT,33.0,0.0,36.0,0.0,24.0,1.0,-3.0,0.0,,Internet,,,,,,,,,,,,,,,,,
,Apr,29-1,3,MORI,FT,29.0,-4.0,39.0,3.0,22.0,0.0,-10.0,-7.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,Apr,29-2,3-4,Populus,TT / ITV,27.0,-2.0,41.0,0.0,23.0,2.0,-14.0,-2.0,,Phone,Rolling poll,,,,,,,,,,,,,,,,
,May,1-2,4,Harris,,34.0,,38.0,,22.0,,-4.0,,,Internet,Certain to vote,,,,,,,,,,,,,,,,
,May,1-3,5,ICM,GU,32.0,1.0,38.0,-1.0,22.0,0.0,-6.0,2.0,,Phone,,,,,,,,,,,,,,,,,
,May,1-3,5,NOP,Ind,33.0,3.0,36.0,-4.0,23.0,2.0,-3.0,7.0,,Phone,,,,,,,,,,,,,,,,,
,May,1-4,4,Harris,,33.0,-1.0,39.0,0.0,22.0,0.0,-5.0,-1.0,,Internet,Certain to vote,,,,,,,,,,,,,,,,
,May,2-3,4,YouGov,Sky,32.0,-1.0,36.0,0.0,25.0,1.0,-4.0,-1.0,,Internet,,,,,,,,,,,,,,,,,
,May,2-3,5,Populus,TT,32.0,5.0,38.0,-3.0,21.0,-2.0,-6.0,8.0,,Phone,,,,,,,,,,,,,,,,,
,May,3-4,5,YouGov,DT,32.0,0.0,37.0,1.0,24.0,-1.0,-5.0,-1.0,,Internet,,,,,,,,,,,,,,,,,
,May,3-4,5,MORI,ES,33.0,4.0,38.0,-1.0,23.0,1.0,-5.0,5.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exit,,,,33.0,,37.0,,22.0,,-4.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,Result,,33.2,,36.2,,22.6,,-3.0,,,,,,,,,,,,,,,,,,,,
